ERROR 2022-08-20 18:43:04,390 :  views 1218711 Error: SetUp matching query does not exist. from function createTicker in line no. 94
ERROR 2022-08-20 18:43:59,209 :  views 1218711 Error: TickerDetails matching query does not exist. from function detail in line no. 274
ERROR 2022-08-24 16:28:46,289 :  views 1340686 'Request' object has no attribute 'Get' from function rebootStatus in line no. 639
ERROR 2022-08-25 11:39:57,663 :  rundecklog 1363017 (1054, "Unknown column 'ticker_start_time' in 'field list'") from function initial_data in line no. 42
ERROR 2022-08-25 11:40:01,873 :  views 1363017 Error: (1054, "Unknown column 'ticker_management_rundecklog.ticker_start_time' in 'field list'") from function detail in line no. 280
ERROR 2022-08-25 11:40:04,553 :  views 1363017 Error: (1054, "Unknown column 'ticker_management_rundecklog.ticker_start_time' in 'field list'") from function detail in line no. 280
ERROR 2022-08-25 11:40:07,203 :  views 1363017 Error: (1054, "Unknown column 'ticker_management_rundecklog.ticker_start_time' in 'field list'") from function detail in line no. 280
ERROR 2022-08-25 11:40:15,836 :  views 1363017 Error: (1054, "Unknown column 'ticker_management_rundecklog.ticker_start_time' in 'field list'") from function detail in line no. 280
ERROR 2022-08-25 11:40:17,833 :  views 1363017 Error: (1054, "Unknown column 'ticker_management_rundecklog.ticker_start_time' in 'field list'") from function detail in line no. 280
ERROR 2022-08-25 11:40:18,881 :  views 1363017 Error: (1054, "Unknown column 'ticker_management_rundecklog.ticker_start_time' in 'field list'") from function detail in line no. 280
ERROR 2022-08-25 11:40:19,084 :  views 1363017 Error: (1054, "Unknown column 'ticker_management_rundecklog.ticker_start_time' in 'field list'") from function detail in line no. 280
ERROR 2022-08-25 11:40:19,323 :  views 1363017 Error: (1054, "Unknown column 'ticker_management_rundecklog.ticker_start_time' in 'field list'") from function detail in line no. 280
ERROR 2022-08-25 11:40:24,815 :  views 1363017 Error: (1054, "Unknown column 'ticker_management_rundecklog.ticker_start_time' in 'field list'") from function detail in line no. 280
ERROR 2022-08-25 11:40:30,809 :  views 1363017 Error: (1054, "Unknown column 'ticker_management_rundecklog.ticker_start_time' in 'field list'") from function detail in line no. 280
ERROR 2022-08-25 11:40:32,564 :  views 1363017 Error: (1054, "Unknown column 'ticker_management_rundecklog.ticker_start_time' in 'field list'") from function detail in line no. 280
ERROR 2022-08-25 11:40:33,615 :  views 1363017 Error: (1054, "Unknown column 'ticker_management_rundecklog.ticker_start_time' in 'field list'") from function detail in line no. 280
ERROR 2022-08-25 11:40:35,562 :  views 1363017 Error: (1054, "Unknown column 'ticker_management_rundecklog.ticker_start_time' in 'field list'") from function detail in line no. 280
ERROR 2022-08-25 11:40:36,595 :  views 1363017 Error: (1054, "Unknown column 'ticker_management_rundecklog.ticker_start_time' in 'field list'") from function detail in line no. 280
ERROR 2022-08-25 11:40:39,176 :  views 1363017 Error: (1054, "Unknown column 'ticker_management_rundecklog.ticker_start_time' in 'field list'") from function detail in line no. 280
ERROR 2022-08-25 11:40:44,181 :  views 1363017 Error: (1054, "Unknown column 'ticker_management_rundecklog.ticker_start_time' in 'field list'") from function detail in line no. 280
ERROR 2022-08-25 11:40:57,922 :  views 1363017 Error: (1054, "Unknown column 'ticker_management_rundecklog.ticker_start_time' in 'field list'") from function detail in line no. 280
ERROR 2022-08-25 11:42:14,085 :  views 1363017 Error: (1054, "Unknown column 'ticker_management_rundecklog.ticker_start_time' in 'field list'") from function detail in line no. 280
ERROR 2022-08-25 11:42:15,489 :  views 1363017 Error: (1054, "Unknown column 'ticker_management_rundecklog.ticker_start_time' in 'field list'") from function detail in line no. 280
ERROR 2022-08-26 11:03:09,528 :  gadget 1442909 Exception while insertion: string indices must be integers from function datagetter in line no. 382
ERROR 2022-08-26 11:10:05,425 :  gadget 1443711 Unable to update: TickerDetails matching query does not exist. from function datagetter in line no. 396
ERROR 2022-08-26 11:13:59,131 :  gadget 1443984 Exception while insertion: string indices must be integers from function datagetter in line no. 381
ERROR 2022-08-26 11:16:29,164 :  gadget 1445577 Unable to update: TickerDetails matching query does not exist. from function datagetter in line no. 396
ERROR 2022-08-26 16:07:23,931 :  views 1477185 local variable 'key_name' referenced before assignment from function rebootStatus in line no. 725
ERROR 2022-08-26 16:07:40,102 :  views 1477185 local variable 'key_name' referenced before assignment from function rebootStatus in line no. 725
ERROR 2022-08-29 11:29:12,260 :  gadget 4144228 Error While schedule: TickerDetails matching query does not exist. from function datagetter in line no. 405
